worker_id,average_monthly_income,income_volatility,working_days_per_month,gig_duration_months,completion_rate,cancellation_rate,platform_rating,existing_monthly_obligations,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,loan_repaid
19,1160.07,0.261,17,19,0.645,0.094,3.49,221.44,956.1,1336.21,1597.8,949.64,1154.52,1281.62,1
20,769.96,0.3,21,14,0.569,0.139,4.05,164.25,718.81,1198.25,534.09,712.48,596.61,618.43,0
21,1500.71,0.232,30,31,0.72,0.0,4.59,423.08,1689.44,1605.33,1784.98,1259.69,1261.46,1115.73,1
22,1228.63,0.431,21,19,0.368,0.158,4.14,401.92,1085.92,504.06,1902.52,1517.06,997.64,1355.02,1
23,607.78,0.239,22,31,0.627,0.026,4.33,111.22,986.26,516.25,533.42,656.11,332.06,599.06,1
24,1865.95,0.387,20,18,0.313,0.294,3.03,503.36,2045.77,2601.78,2053.74,2257.65,2116.43,966.91,1
25,2325.0,0.259,14,20,0.643,0.12,4.05,539.06,1576.96,2926.55,2671.91,1993.99,2394.2,2271.71,0
26,1372.37,0.261,17,29,0.63,0.119,4.8,244.71,1071.97,1261.2,1519.47,1354.57,836.32,1318.17,0
27,150.0,0.534,7,10,0.151,0.244,2.94,6.62,74.7,294.55,156.58,183.41,202.87,145.0,1
28,1680.85,0.283,29,31,0.713,0.122,4.02,439.51,1288.82,1512.66,1358.29,2415.09,2373.21,1914.44,1
29,702.9,0.374,26,12,0.543,0.183,4.27,160.55,844.04,824.33,877.02,783.47,528.25,239.82,0
30,1344.76,0.139,25,27,0.971,0.0,4.56,283.97,1137.52,1426.1,1274.62,1156.84,1197.78,1136.46,1
31,3173.27,0.393,20,11,0.509,0.208,4.59,322.08,2759.86,1512.57,3209.03,3507.66,4563.04,2565.46,1
32,350.42,0.166,17,33,0.713,0.154,3.93,118.0,416.84,344.0,360.64,340.83,373.86,427.51,1
33,709.14,0.452,17,17,0.223,0.211,3.08,136.3,542.4,1472.73,983.74,67.97,665.54,1468.7,1
34,2099.7,0.556,24,17,0.136,0.23,3.73,186.22,2882.99,1023.88,4348.64,0.0,3049.89,2105.35,1
35,1122.9,0.238,23,28,0.726,0.0,3.6,85.13,673.65,1289.77,925.96,1105.15,1196.07,1135.06,1
36,593.61,0.542,14,12,0.136,0.174,3.15,139.02,474.43,222.42,610.51,599.33,1052.94,0.0,1
37,2889.8,0.504,10,18,0.179,0.251,3.31,683.67,1599.54,1531.46,727.95,2460.53,2865.39,4207.02,1
38,2617.72,0.138,29,33,0.804,0.129,4.66,374.23,2726.35,2105.21,3154.56,2938.13,2772.26,2780.66,1
39,2348.76,0.356,19,17,0.503,0.181,3.94,509.71,1483.59,3135.59,2385.43,1566.89,3266.85,2585.49,1
40,1662.85,0.289,14,24,0.503,0.14,4.1,388.12,2658.9,1243.49,1518.63,995.73,484.81,1063.1,1
41,1600.82,0.235,18,22,0.861,0.151,3.85,306.07,984.82,2077.09,1620.45,1290.57,2027.02,2344.77,1
42,3022.13,0.285,17,23,0.685,0.149,4.51,374.42,3999.58,2564.88,3110.57,2497.36,2587.44,4330.71,1
43,4183.07,0.457,19,23,0.539,0.116,5.0,1074.67,5863.53,4427.97,2782.79,4071.8,5139.65,4746.27,1
44,365.68,0.575,17,6,0.051,0.366,3.42,90.33,430.78,452.11,615.27,198.09,715.31,574.1,0
45,1071.17,0.493,16,11,0.322,0.135,3.45,241.46,1099.93,216.79,1411.86,0.0,909.53,1098.18,0
46,1325.28,0.476,22,12,0.351,0.109,2.99,150.16,2494.34,1453.63,1819.49,0.0,1038.2,1842.75,0
47,1380.33,0.156,23,32,0.878,0.029,3.96,101.48,1913.73,1455.86,1233.54,1406.92,1368.51,1098.13,1
48,3548.38,0.137,27,29,0.789,0.035,4.12,660.43,3447.44,4103.58,3190.85,2998.53,2841.09,2441.05,1
49,1166.9,0.59,15,15,0.311,0.174,3.07,296.82,1275.53,506.24,1088.71,0.0,2681.1,292.79,0
50,5546.41,0.409,30,22,0.317,0.231,3.65,1459.98,4294.58,3694.91,7359.24,6962.62,5450.06,3718.79,1
51,3524.95,0.113,22,41,0.987,0.021,5.0,799.28,3060.24,3787.07,3724.34,4139.05,4178.96,3269.18,1
52,2840.26,0.388,16,20,0.518,0.14,4.26,408.89,3351.02,4397.95,1982.58,2736.09,2472.78,3334.48,1
53,677.44,0.284,17,19,0.567,0.131,3.91,78.36,725.45,563.48,805.87,729.07,683.98,627.95,1
54,965.76,0.258,21,23,0.807,0.0,3.49,172.53,564.21,657.73,723.34,1034.81,1201.23,958.61,1
55,807.02,0.245,14,29,0.773,0.001,4.47,144.79,897.35,744.27,675.95,348.77,588.66,572.34,1
56,2981.44,0.382,20,13,0.257,0.187,3.61,800.77,3303.64,1828.33,3160.92,3992.68,2864.74,1534.92,1
57,449.59,0.571,9,8,0.207,0.176,2.6,63.67,295.36,551.64,149.08,767.66,682.21,460.14,0
58,922.88,0.273,22,29,0.72,0.079,4.28,136.83,755.21,651.23,680.49,1384.97,869.29,786.51,1
59,729.21,0.223,17,27,0.738,0.156,4.46,251.14,798.03,887.21,981.28,658.13,650.75,729.95,1
60,5221.59,0.59,15,13,0.309,0.189,2.31,1587.87,10179.94,5876.84,9432.23,1723.3,8658.57,6899.35,0
61,1838.5,0.109,26,39,0.998,0.0,4.01,201.09,1918.56,2040.27,2298.6,2111.49,2120.04,2167.94,1
62,1658.11,0.654,25,5,0.063,0.215,3.02,493.29,2505.08,0.0,2147.07,2199.52,3351.14,1635.92,0
63,402.01,0.618,11,10,0.246,0.294,3.39,36.28,195.25,0.0,562.2,619.32,234.31,852.54,1
64,1849.79,0.59,16,13,0.272,0.279,3.09,268.73,1397.7,3260.47,1680.69,1143.65,1217.59,2293.15,1
65,400.47,0.448,16,20,0.346,0.213,3.23,61.83,509.62,271.31,337.57,449.22,315.82,524.25,1
66,723.39,0.339,17,27,0.477,0.073,4.07,125.72,390.62,364.16,937.0,465.33,899.42,981.38,1
67,810.48,0.37,17,16,0.557,0.146,3.5,186.07,872.63,749.68,1218.99,808.91,451.51,1026.36,1
68,1760.73,0.338,23,22,0.456,0.175,4.0,331.93,2054.35,1904.94,2228.85,1553.71,1082.14,1283.65,1
69,741.81,0.408,17,17,0.335,0.188,3.11,170.01,730.15,694.02,487.86,1450.46,525.8,1069.3,1
70,5359.89,0.103,30,23,0.824,0.036,3.72,792.47,5536.5,5618.7,5576.46,5663.28,4841.05,5153.02,1
71,1750.11,0.448,20,15,0.381,0.157,3.83,367.41,1795.43,2010.72,1146.48,63.4,2443.26,1986.57,1
72,765.87,0.378,15,27,0.412,0.135,3.74,142.69,585.9,846.91,672.0,765.42,1002.19,804.3,1
73,1933.38,0.496,16,15,0.124,0.182,3.71,133.27,803.11,3226.99,3503.16,2286.6,1471.26,3031.01,1
74,1011.61,0.352,17,24,0.585,0.192,3.52,221.18,979.42,1006.56,584.02,842.67,942.51,1151.72,1
75,1321.18,0.195,26,31,0.728,0.132,3.82,247.97,1657.72,1309.94,1880.67,1036.69,665.98,963.58,1
76,2664.19,0.12,17,26,1.0,0.006,4.87,327.39,2990.66,2920.05,2839.33,2874.7,2518.41,3330.81,1
77,305.32,0.328,16,23,0.647,0.126,3.33,44.58,270.7,360.72,258.59,208.94,430.02,389.02,1
78,2124.63,0.337,18,20,0.657,0.125,4.33,314.39,1862.85,1479.05,2173.41,2536.1,1758.66,1731.0,1
79,920.74,0.469,22,15,0.458,0.273,4.14,147.69,730.88,880.97,624.98,469.14,449.0,429.66,1
80,1150.15,0.259,26,31,0.736,0.13,4.29,368.87,1019.41,1280.48,987.5,991.37,1559.44,1432.46,1
81,4654.14,0.465,24,14,0.393,0.214,3.25,1616.01,5277.16,3383.56,4812.84,6724.36,2241.11,2447.7,1
82,1184.86,0.265,23,16,0.641,0.112,3.61,0.0,1517.29,1015.37,1081.46,1338.64,1670.88,1436.58,1
83,2501.86,0.331,20,20,0.591,0.101,3.67,548.04,4376.9,1348.85,1728.77,2527.9,4894.88,3387.74,1
84,1948.84,0.358,24,30,0.792,0.141,3.37,499.68,1369.49,0.0,1794.27,1927.96,1872.48,1495.21,1
85,1940.21,0.149,18,21,0.775,0.109,3.81,315.7,2128.16,1832.23,1560.76,1966.34,2299.21,1726.91,1
86,725.13,0.461,10,12,0.267,0.162,3.56,184.36,906.37,767.67,300.12,460.62,167.41,568.0,1
87,1276.23,0.297,22,24,0.552,0.155,4.09,398.61,1151.15,860.71,789.91,700.9,626.46,901.12,1
88,3066.29,0.308,16,29,0.51,0.184,3.28,215.41,2097.51,4367.3,4644.38,3603.71,2314.0,3283.05,1
89,2657.88,0.266,21,15,0.596,0.016,4.16,506.86,2852.41,1918.47,2944.42,3738.77,3238.85,2920.87,1
90,1129.89,0.265,21,25,0.425,0.118,4.08,380.25,1765.74,1403.6,1308.62,1311.13,1130.41,1348.1,1
91,828.59,0.304,22,20,0.563,0.147,4.47,67.1,896.28,933.92,831.42,892.53,781.7,618.95,1
92,1368.14,0.123,27,27,0.856,0.0,4.39,233.65,1235.58,1734.59,1453.39,1164.65,1150.79,1509.57,1
93,3614.12,0.18,27,30,0.783,0.0,4.69,520.9,3512.08,3964.4,4377.07,4183.28,3531.49,2973.27,1
94,2741.19,0.337,20,20,0.501,0.131,3.83,724.09,1686.62,1403.5,3118.39,3186.45,2145.9,3517.57,1
95,1554.39,0.463,16,16,0.32,0.215,3.85,427.92,1567.71,2313.11,2734.76,2101.39,890.57,484.6,1
96,392.21,0.556,17,8,0.126,0.265,2.7,75.69,541.16,762.22,384.1,617.56,172.64,733.92,1
97,2753.73,0.144,21,26,0.958,0.11,4.28,502.77,2480.03,2053.39,2990.4,3380.48,2829.58,2547.64,1
98,2437.9,0.507,17,15,0.31,0.197,3.37,103.53,0.0,3228.21,3308.44,1059.5,1547.19,3178.7,1
99,1927.98,0.429,30,21,0.461,0.136,3.54,566.52,2157.23,2640.31,1156.26,860.72,1922.58,2489.73,1
100,4704.62,0.349,21,11,0.564,0.064,3.9,713.91,3880.54,4354.93,4774.85,4948.05,1798.02,2618.7,1
101,574.72,0.444,20,16,0.337,0.167,3.73,96.91,383.29,0.0,105.13,339.47,703.02,787.69,1
102,1911.93,0.379,17,22,0.341,0.22,3.87,492.76,1362.28,1697.69,1817.92,1118.77,2086.18,1513.25,0
103,1120.91,0.166,28,37,0.829,0.101,4.22,219.48,1195.22,1013.04,1069.09,1347.42,1077.96,1064.09,1
104,1869.93,0.653,18,11,0.0,0.283,2.76,486.76,1371.56,3738.97,1455.81,637.08,2067.26,1051.07,0
105,1890.32,0.465,21,13,0.377,0.203,3.93,431.51,2708.49,1812.42,1531.98,1880.59,2711.76,3309.38,0
106,3715.25,0.443,19,19,0.429,0.227,3.68,729.31,5281.62,3037.17,4557.22,1032.25,1332.57,1791.14,1
107,2393.51,0.266,26,18,0.714,0.095,3.55,490.27,2221.46,2020.65,1830.36,2433.58,2435.91,2667.05,1
108,980.51,0.538,22,8,0.245,0.277,3.23,88.42,705.5,1152.5,1962.56,1605.02,291.41,651.22,1
109,993.75,0.468,20,19,0.482,0.113,2.91,167.03,1053.16,1020.2,1257.77,1558.14,1034.51,1501.37,0
110,1030.65,0.45,18,18,0.195,0.218,3.5,274.9,963.23,664.32,658.28,1515.26,910.61,2107.17,1
111,1171.61,0.323,24,26,0.519,0.116,3.71,126.66,509.31,1271.39,1416.2,1141.99,1162.2,933.39,1
112,2554.75,0.399,15,26,0.284,0.239,3.37,313.67,4504.0,1987.27,3567.87,3686.66,3418.74,2697.38,1
113,2264.21,0.501,15,14,0.239,0.16,4.03,248.23,3074.98,0.0,2683.16,2752.35,3193.22,1827.01,0
114,673.28,0.164,22,23,0.832,0.046,3.59,129.45,621.95,747.26,561.89,624.66,793.62,788.24,0
115,1458.69,0.188,16,26,0.851,0.0,4.43,426.23,933.17,1615.87,2072.21,1563.36,1349.99,1390.49,1
116,1778.84,0.305,25,36,0.673,0.132,4.8,398.06,1681.07,1887.07,2125.35,2258.76,2159.87,2269.52,1
117,1053.81,0.118,20,23,0.846,0.121,4.72,6.16,980.72,998.81,898.73,888.77,1116.78,1004.37,1
118,1456.24,0.468,16,16,0.234,0.257,3.46,337.69,1414.99,1407.16,1598.65,734.07,1203.44,2984.26,0
119,3605.12,0.34,20,26,0.636,0.152,3.48,521.42,949.54,4610.58,3334.74,3428.88,3748.96,915.61,1
120,2127.81,0.457,19,14,0.427,0.205,2.96,469.71,1668.24,1512.96,2134.06,938.86,1999.17,2494.55,1
121,3456.56,0.179,20,25,0.706,0.128,3.85,580.84,3202.3,3987.96,2718.65,2692.49,4318.83,3450.04,1
122,926.71,0.293,20,16,0.398,0.201,3.51,103.02,874.49,526.21,941.46,812.5,1146.72,914.02,0
123,1602.66,0.251,21,20,0.661,0.139,3.69,279.31,1507.64,1670.3,1268.28,2001.69,1467.55,1717.46,1
124,673.18,0.485,16,8,0.081,0.217,3.22,97.4,690.25,681.6,558.96,991.19,540.69,692.28,1
125,1772.4,0.218,19,24,0.79,0.063,4.05,362.66,2359.77,2159.57,1922.0,1896.38,2142.16,1856.98,1
126,2499.74,0.136,28,26,0.786,0.077,4.46,272.77,2324.55,2187.16,2337.61,2561.06,2955.54,2638.56,1
127,1182.44,0.658,7,8,0.0,0.253,2.57,106.44,473.13,552.03,956.36,2807.49,1428.08,2543.98,1
128,2091.08,0.55,15,9,0.177,0.147,2.89,498.86,103.73,486.67,3034.79,1470.54,2848.79,0.0,1
129,2482.76,0.196,21,31,0.791,0.01,4.06,667.14,2234.14,2207.08,2050.51,2600.03,3116.66,3381.26,1
130,785.87,0.427,20,15,0.401,0.181,3.49,177.93,315.27,871.65,568.1,588.06,727.17,1645.57,1
131,507.64,0.382,14,14,0.638,0.156,4.43,65.03,694.0,158.66,264.11,257.74,523.84,167.74,0
132,1286.81,0.566,14,10,0.198,0.221,3.31,155.44,1216.83,964.29,687.62,2149.61,1641.23,1321.66,1
133,3448.91,0.282,20,18,0.441,0.298,3.09,432.5,4362.66,4042.98,3574.5,3152.06,3031.66,4782.66,1
134,1688.02,0.281,25,27,0.661,0.059,4.1,424.08,2382.61,1639.26,1991.06,2017.29,2493.19,2123.31,0
135,718.11,0.186,24,30,0.743,0.107,4.37,81.86,602.56,728.15,610.43,685.23,659.6,942.0,1
136,5869.34,0.124,19,30,1.0,0.085,4.33,1471.58,5616.4,4772.64,6313.39,6777.11,5913.97,6140.18,1
137,1248.4,0.594,14,14,0.152,0.285,2.71,288.32,2235.42,1174.25,1326.39,509.28,2668.78,0.0,0
138,1611.76,0.41,23,20,0.442,0.192,4.32,449.71,1736.84,1630.72,697.78,2381.16,381.02,2474.19,1
139,636.87,0.327,16,25,0.439,0.214,3.4,168.81,745.4,602.8,673.2,822.95,681.81,769.11,1
140,1476.81,0.347,20,17,0.577,0.129,4.12,329.94,2006.86,1555.22,2089.66,555.95,1137.86,2229.22,1
141,2335.7,0.309,21,25,0.621,0.198,4.02,145.99,2982.95,2112.52,969.64,1962.54,2335.82,1228.21,1
142,1704.49,0.413,18,17,0.326,0.253,3.85,390.01,1993.63,1383.17,3117.37,2423.78,854.82,847.7,1
143,1084.93,0.5,29,14,0.339,0.143,4.22,205.31,1842.48,520.83,753.71,1973.21,883.72,1093.86,1
144,1156.6,0.408,17,11,0.407,0.184,3.78,173.65,1124.4,1616.38,378.5,1494.2,1168.29,1785.6,1
145,750.78,0.514,18,15,0.167,0.151,3.03,216.96,951.12,277.65,804.17,597.82,842.7,1372.39,0
146,2955.84,0.457,15,15,0.209,0.294,3.93,496.27,2717.28,3169.02,4077.53,1648.91,4164.66,1976.33,1
147,2557.11,0.334,22,30,0.487,0.16,3.51,351.97,3427.77,4103.99,2317.86,3040.54,574.59,2210.37,1
148,1455.72,0.077,27,28,0.794,0.139,4.31,392.93,1376.85,1579.68,1490.79,1407.77,1441.55,1778.95,0
149,830.98,0.157,21,27,0.804,0.064,3.67,122.65,610.81,897.62,1108.31,780.8,808.12,758.66,1
150,2118.42,0.169,23,38,0.825,0.0,3.81,283.11,2353.44,2208.04,2192.22,2037.98,2095.35,2360.77,1
151,807.47,0.459,15,12,0.283,0.331,3.49,72.53,429.7,760.15,1911.92,1134.0,819.42,640.15,1
152,913.89,0.356,15,25,0.416,0.173,3.82,104.54,550.16,620.97,1324.87,1500.94,644.12,1068.17,1
153,994.9,0.171,27,37,0.806,0.018,3.52,120.63,1209.73,951.79,1003.65,1169.3,732.16,847.76,1
154,990.05,0.111,22,31,0.982,0.082,4.56,227.4,1095.98,1053.07,1022.01,991.1,1013.85,898.2,1
155,1221.1,0.306,11,32,0.631,0.214,3.59,120.25,1093.08,1366.78,1101.7,884.99,849.45,1082.51,1
156,1139.4,0.493,24,14,0.344,0.174,3.86,35.75,0.0,1582.21,1279.52,1514.21,1365.51,833.31,0
157,5456.85,0.399,16,28,0.552,0.127,3.55,1114.61,6619.28,8115.65,6681.01,9087.41,3413.81,4793.89,1
158,1914.79,0.339,19,16,0.584,0.136,3.25,247.55,2344.45,1812.03,1652.69,2565.62,2364.05,2255.83,1
159,935.36,0.247,28,24,0.756,0.026,4.0,167.15,1054.9,979.74,616.17,983.41,922.76,1372.61,1
160,688.38,0.222,22,36,0.923,0.005,3.83,194.53,760.36,398.09,890.36,613.63,690.67,598.12,1
161,1712.45,0.334,19,19,0.383,0.263,4.22,318.04,1608.62,3003.85,2269.65,1910.02,1571.44,1146.67,1
162,1293.56,0.11,19,31,0.92,0.034,4.3,389.06,1235.36,1234.88,1092.64,1457.26,1235.9,1294.91,1
163,3367.21,0.118,17,23,0.922,0.0,4.18,587.74,2929.45,3625.11,3434.88,3459.14,3275.01,3030.29,1
164,2142.04,0.123,23,33,0.949,0.01,4.49,558.12,1958.23,2032.78,2412.74,2114.78,2453.48,1711.07,1
165,361.66,0.498,19,14,0.198,0.274,2.99,49.26,419.57,282.8,528.06,237.86,85.25,553.38,0
166,899.93,0.277,23,29,0.71,0.0,3.47,169.74,984.13,840.87,727.01,1545.13,738.43,919.98,1
167,660.02,0.547,15,11,0.177,0.239,3.42,69.54,945.13,210.57,1014.54,338.42,1041.45,724.45,0
168,1525.71,0.47,18,12,0.431,0.285,2.99,175.25,516.91,0.0,1536.54,820.37,2113.71,143.41,1
169,780.54,0.117,16,30,0.715,0.193,3.8,126.47,628.65,886.7,816.12,795.56,903.53,727.01,1
170,1349.99,0.465,20,15,0.21,0.246,3.74,99.52,1111.39,1692.89,772.2,1223.1,1312.76,460.29,1
171,508.19,0.464,18,14,0.087,0.314,3.56,97.95,267.45,292.02,0.0,749.72,197.03,503.36,1
172,2073.64,0.216,30,32,0.771,0.142,3.64,323.03,2157.01,2276.2,1725.22,2547.47,1577.07,2133.85,1
173,1645.42,0.414,19,23,0.615,0.11,3.4,327.05,753.43,2206.5,2010.82,818.52,1442.01,1736.4,1
174,2475.4,0.477,14,16,0.282,0.246,3.07,185.52,3869.63,1656.72,2232.72,1582.84,3374.02,1687.53,1
175,1413.08,0.452,18,16,0.36,0.27,4.24,333.68,887.66,1676.32,1828.65,853.56,1250.3,867.9,1
176,1060.02,0.197,22,24,0.843,0.0,4.56,334.76,1392.48,1270.18,1290.92,1223.78,990.78,1019.69,1
177,2587.67,0.577,18,9,0.117,0.27,3.02,773.51,3370.8,439.27,2093.99,3227.47,3180.56,3120.93,1
178,1668.37,0.186,24,41,0.873,0.07,4.5,554.42,1341.66,1833.52,1535.57,1553.35,1676.96,1489.04,1
179,2480.24,0.127,18,43,0.852,0.062,3.69,454.86,3138.4,2594.73,1793.15,2548.24,2341.82,2185.72,1
180,761.83,0.364,13,23,0.391,0.173,3.42,115.66,835.52,1283.86,332.18,449.17,483.8,513.45,0
181,1299.99,0.445,19,12,0.31,0.204,3.52,284.71,1396.19,1622.55,524.08,870.0,1848.34,918.72,1
182,800.44,0.537,23,10,0.279,0.216,3.51,128.83,772.39,623.68,1039.91,241.17,1251.22,605.71,1
183,2409.51,0.049,25,28,1.0,0.076,4.36,98.22,2464.37,2374.8,2371.83,2426.62,2285.15,2280.39,1
184,2042.27,0.535,21,7,0.367,0.202,3.49,501.47,2616.72,4254.45,1458.19,2197.19,1602.1,1555.19,1
185,900.83,0.546,21,17,0.229,0.204,3.33,145.26,475.62,726.39,581.92,416.93,1228.7,1508.49,1
186,1096.48,0.374,22,26,0.576,0.084,3.76,68.65,1008.86,1336.96,776.88,1269.29,629.72,975.65,1
187,2182.32,0.11,21,31,0.958,0.007,4.23,304.08,2210.1,2125.07,2404.08,2436.18,2270.01,1884.82,1
188,1129.59,0.134,24,18,0.786,0.087,4.08,184.2,1217.55,1292.81,1143.68,974.04,1080.31,788.68,1
189,518.69,0.516,22,11,0.205,0.183,3.48,93.85,679.27,821.45,784.14,431.31,192.87,1010.42,1
190,1713.84,0.427,21,27,0.413,0.214,3.8,311.76,1834.33,1697.24,107.66,2089.95,3015.36,2548.14,1
191,1011.86,0.56,19,10,0.012,0.288,3.25,292.96,699.98,781.34,1313.77,1008.25,818.36,1173.15,0
192,945.25,0.459,15,14,0.251,0.264,2.86,72.71,684.33,758.49,735.42,350.18,1172.65,1449.52,1
193,2005.69,0.248,20,38,0.662,0.073,3.47,336.61,1411.98,1145.01,1865.44,1786.05,1447.02,2268.59,0
194,2145.81,0.33,20,19,0.49,0.106,3.98,235.36,2564.92,2216.93,3102.57,1810.6,3243.67,2092.29,1
195,878.78,0.642,16,7,0.125,0.296,3.72,246.49,531.22,924.14,658.81,782.62,1977.55,179.02,1
196,840.38,0.284,25,17,0.495,0.153,3.88,113.52,794.66,645.78,957.67,809.9,482.2,1295.48,1
197,548.22,0.485,8,19,0.18,0.215,3.23,83.6,611.47,60.03,277.37,964.88,504.43,431.93,0
198,1562.92,0.499,17,15,0.399,0.205,3.44,412.57,1565.99,1723.78,1591.08,1400.34,2598.37,1264.75,1
199,1522.12,0.411,20,16,0.414,0.2,3.29,435.3,1518.61,1730.41,525.69,446.27,1228.79,1545.58,1
200,799.79,0.468,14,12,0.313,0.129,4.15,238.19,460.72,947.66,778.32,833.94,953.15,820.26,1
201,1286.56,0.121,27,38,0.92,0.109,4.43,62.46,1328.45,1132.33,1346.61,1558.86,1024.76,1376.1,1
202,1859.41,0.38,17,19,0.517,0.12,3.48,406.53,1638.54,2139.55,2640.57,1741.42,1302.83,2183.9,1
203,954.43,0.514,16,10,0.323,0.274,3.34,192.42,912.04,866.81,553.15,739.5,1104.09,671.41,0
204,3189.92,0.177,30,25,0.884,0.0,3.88,561.11,3844.11,3678.31,2891.09,3017.55,2856.91,3204.55,1
205,2622.66,0.386,24,23,0.414,0.182,4.24,486.05,3133.58,1637.02,1971.39,3213.29,2258.12,3171.76,1
206,1422.27,0.216,24,32,0.626,0.104,3.93,402.31,1247.1,1775.25,1344.32,1327.33,957.16,1219.11,1
207,2311.29,0.423,20,14,0.498,0.047,3.62,608.07,2165.7,3787.55,1368.9,829.52,2950.75,3725.64,1
208,1711.88,0.287,21,25,0.737,0.119,4.22,430.97,2497.69,1768.91,652.03,1381.84,1053.74,1701.93,1
209,1460.07,0.58,24,11,0.184,0.128,2.88,286.98,1199.65,1802.08,576.66,1405.27,2765.39,2814.35,1
210,451.33,0.306,24,36,0.581,0.11,4.02,163.22,456.84,559.57,444.57,525.29,357.07,259.11,1
211,660.12,0.446,16,24,0.495,0.201,3.72,97.67,855.61,358.22,616.53,488.62,895.8,852.81,1
212,502.26,0.481,11,14,0.258,0.179,2.67,25.48,554.28,384.71,635.73,430.65,672.01,287.01,1
213,1242.19,0.273,22,18,0.535,0.091,3.88,197.24,1115.89,1304.61,1527.51,1257.41,908.47,1027.25,1
214,1083.61,0.592,16,16,0.108,0.283,3.21,200.05,606.69,2383.91,795.21,584.88,714.25,1664.09,0
215,1226.13,0.432,14,27,0.431,0.15,3.69,348.53,1220.78,592.12,385.59,1177.5,983.66,1105.03,0
216,1917.03,0.295,23,30,0.736,0.066,3.92,266.7,2289.23,2843.37,2145.11,2181.3,1696.63,3386.2,1
217,1093.41,0.209,21,31,0.668,0.167,4.24,239.78,1394.64,1049.35,1091.18,822.84,797.49,1211.55,1
218,2481.69,0.297,23,34,0.569,0.069,4.48,153.42,1402.29,2456.33,2291.32,2707.43,2874.95,1969.17,1
219,3742.67,0.488,20,12,0.263,0.181,3.0,997.47,6964.42,5968.83,5973.18,1749.97,2483.88,4692.68,1
220,997.85,0.386,17,12,0.391,0.215,3.5,185.07,886.66,1777.22,1171.56,585.2,953.83,906.4,1
221,727.29,0.607,19,9,0.118,0.179,3.45,114.59,1135.75,914.04,781.57,434.57,1171.75,1094.77,0
222,823.86,0.377,17,17,0.514,0.23,3.85,288.79,594.75,1185.69,874.77,1248.03,1001.49,731.85,0
223,1393.08,0.36,18,19,0.532,0.126,3.93,369.99,584.79,931.29,1819.45,532.44,1081.32,1597.14,1
224,1244.12,0.16,21,30,0.832,0.106,5.0,120.45,982.84,1138.75,1106.9,1151.79,1451.27,1283.61,1
225,549.04,0.337,24,25,0.502,0.188,3.96,94.02,487.88,299.1,386.37,544.15,672.03,563.53,1
226,473.61,0.457,17,14,0.334,0.179,3.88,188.92,587.13,361.92,422.89,726.43,320.71,699.28,1
227,3205.85,0.357,26,24,0.465,0.13,3.78,1084.56,3241.58,3853.17,1856.86,5436.67,2617.16,1140.74,1
